symbol,name,exchange,sector,industry,marketCap,country
NVDACO.CL,NVIDIA CORPORATION,BVC,,,2.080785168125133e+16,US
AAPLCO.CL,APPLE INC,BVC,,,1.7037333178089472e+16,US
NVDACL.SN,NVIDIA CORP,SGO,,,5023482333102080.0,US
AAPL.BA,APPLE INC CEDEAR(REPR 1/20 SHR),BUE,,,1963894197190656.0,US
AVGOCL.SN,BROADCOM INC,SGO,,,1784969886171136.0,US
005930.KS,SamsungElec,KSC,,,1776255397527552.0,US
000660.KS,SK hynix,KSC,,,1291226082967552.0,US
005935.KS,SamsungElec(1P),KSC,,,1183741170941952.0,US
AMDCL.SN,ADVANCED MICRO DEVICES INC,SGO,,,642456643174400.0,US
UBERCO.CL,UBER TECHNOLOGIES INC,BVC,,,582181340577792.0,US
TSM.BA,TAIWAN SEMICONDUCTOR MANUFACTUR,BUE,,,2414067436224512.0,US
LRCX.BA,LAM RESEARCH CORP CED EACH 20 R,BUE,,,529441725874176.0,US
NVDA.BA,NVIDIA CORP CEDEAR EACH 24 REP ,BUE,,,338602940694528.0,US
MU.BA,MICRON TECHNOLOGY INC CEDEAR EA,BUE,,,242575592128512.0,US
CRMCL.SN,SALESFORCE INC,SGO,,,152297912926208.0,US
NVDA80.BK,NVDA80_DR NVDA#KTB,SET,,,180442917502976.0,US
PLTR.BA,PALANTIR TECH INC CEDEAR EACH 3,BUE,,,158941791125504.0,US
402340.KS,SKSQUARE,KSC,,,144725717811200.0,US
ADP.BA,AUTOMATIC DATA PROCESSING INC C,BUE,,,127415036674048.0,US
FPT.VN,FPT CORPORATION,VSE,,,124185665863680.0,US
UBER.BA,UBER TECHNOLOGIES INC CEDEAR EA,BUE,,,113891761717248.0,US
AMD.BA,ADVANCED MICRO DEVICES INC CEDE,BUE,,,103257783402496.0,US
NVDA.MX,NVIDIA CORP,MEX,,,94969889030144.0,US
ORCL.BA,ORACLE CORP CEDEAR EACH REPR 1/,BUE,,,791987942850560.0,US
ADBECL.SN,ADOBE INC,SGO,,,88924001140736.0,US
AVGO.BA,BROADCOM INC CEDEAR EACH 39 REP,BUE,,,76701623123968.0,US
AAPL.MX,APPLE INC,MEX,,,76492478349312.0,US
009150.KS,SamsungElecMech,KSC,,,76302719647744.0,US
SAP.BD,SAP SE,BUD,,,60094263853056.0,US
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,TAI,,,58735976251392.0,US
CYBR.TA,PALO ALTO NETWORKS,TLV,,,557562527744.0,US
MSFT.MX,MICROSOFT CORP,MEX,,,54344942616576.0,US
GOTO.JK,GoTo Gojek Tokopedia Tbk.,JKT,,,53100509396992.0,US
TWLO.BA,TWILIO INC CED EACH 5 REPR 1,BUE,,,44448490717184.0,US
066570.KS,LGELECTRONICS,KSC,,,43193609486336.0,US
MLPT.JK,Multipolar Technology Tbk.,JKT,,,37875001327616.0,US
TSMN.MX,TAIWAN SEMICONDUCTOR MANUFACTUR,MEX,,,36545713143808.0,US
042700.KS,HANMISemi,KSC,,,35000758042624.0,US
